dataset,method,epsilon,repaired_flag,synth_kind,utility_mean,utility_std,utility_main_n,utility_acc_mean,utility_acc_std,tstr_acc_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,corr_mean,corr_std,pearson_mad_n,n_seeds,utility_winner,privacy_winner,pareto_winner,delta_vs_baseline_utility,delta_vs_baseline_privacy
C,DP-Diffusion,0.500000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112182189106,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,0.700000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112182287699,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,1.000000000000,,,0.333333333333,,1,0.343750000000,,1,0.500000000000,0.707106781187,2,0.999999999999,0.000000000000,2,0.500000000000,0.000000000000,2,0.499999999999,0.000000000000,2,0.043154973550,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,3.000000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112181816923,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,4.000000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112181363894,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,5.000000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112181159518,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion+DP-CR,1.000000000000,False,,0.333333333333,0.000000000000,4,0.343750000000,0.000000000000,4,0.733333333333,0.457737708217,15,0.999999999999,0.000000000000,15,0.500000000000,0.000000000000,15,0.499999999999,0.000000000000,15,0.042522872178,0.000480650456,4,1,0,0,0,0.000000000000,
C,DP-Diffusion+DP-CR,1.000000000000,True,,0.329734848485,0.004166666667,4,0.339843750000,0.004510548978,4,0.733333333333,0.457737708217,15,0.999999999999,0.000000000000,15,0.500000000000,0.000000000000,15,0.499999999999,0.000000000000,15,0.042996050790,0.001097241328,4,1,0,0,0,-0.003598484848,
C,DP-Diffusion+DP-CR,1.500000000000,False,,,,0,,,0,1.000000000000,0.000000000000,13,0.999999999999,0.000000000000,13,0.500000000000,0.000000000000,13,0.499999999999,0.000000000000,13,,,0,0,0,0,0,,
C,DP-Diffusion+DP-CR,1.500000000000,True,,,,0,,,0,1.000000000000,0.000000000000,13,0.999999999999,0.000000000000,13,0.500000000000,0.000000000000,13,0.499999999999,0.000000000000,13,,,0,0,0,0,0,,
C,DP-Diffusion+DP-CR,5.000000000000,False,,0.333333333333,0.000000000000,4,0.343750000000,0.000000000000,4,0.846153846154,0.367946484403,26,0.999999999999,0.000000000000,26,0.500000000000,0.000000000000,26,0.499999999999,0.000000000000,26,0.042523284689,0.000481363131,4,1,0,0,0,0.000000000000,
C,DP-Diffusion+DP-CR,5.000000000000,True,,0.333522727273,0.000378787879,4,0.343750000000,0.000000000000,4,0.846153846154,0.367946484403,26,0.999999999999,0.000000000000,26,0.500000000000,0.000000000000,26,0.499999999999,0.000000000000,26,0.042914983358,0.000856253616,4,1,1,0,0,0.000189393939,
C,SDV-CTGAN,,,,0.333333333333,0.032328164081,3,0.335937500000,0.027063293868,3,1.000000000000,0.000000000000,3,0.999999999999,0.000000000000,3,0.500000000000,0.000000000000,3,0.499999999999,0.000000000000,3,0.064352204195,0.001879735327,3,1,0,0,0,-0.000000000000,
C,SDV-GaussianCopula,,,,0.333333333333,0.000000000000,3,0.312500000000,0.000000000000,3,1.000000000000,0.000000000000,3,0.999999999999,0.000000000000,3,0.500000000000,0.000000000000,3,0.499999999999,0.000000000000,3,0.077127272560,0.000000000000,3,1,0,0,0,0.000000000000,
C,SDV-TVAE,,,,0.324242424242,0.009090909091,3,0.304687500000,0.007812500000,3,1.000000000000,0.000000000000,3,0.999999999999,0.000000000000,3,0.500000000000,0.000000000000,3,0.499999999999,0.000000000000,3,0.162524645112,0.021266549313,3,1,0,0,0,-0.009090909091,
