dataset,method,epsilon,repaired_flag,n_rows,n_both,n_exact_equal,frac_exact_equal,n_near_equal,frac_near_equal,mia_mean,knn_mean,delta_abs_mean,delta_abs_median
C,DP-Diffusion+DP-CR,5.000000000000,False,26.000000000000,26.000000000000,22.000000000000,0.846153846154,22.000000000000,0.846153846154,0.846153846154,0.999999999999,0.153846153847,0.000000000001
C,DP-Diffusion+DP-CR,5.000000000000,True,26.000000000000,26.000000000000,22.000000000000,0.846153846154,22.000000000000,0.846153846154,0.846153846154,0.999999999999,0.153846153847,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,False,13.000000000000,13.000000000000,13.000000000000,1.000000000000,13.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,True,13.000000000000,13.000000000000,13.000000000000,1.000000000000,13.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,False,15.000000000000,15.000000000000,11.000000000000,0.733333333333,11.000000000000,0.733333333333,0.733333333333,0.999999999999,0.266666666667,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,True,15.000000000000,15.000000000000,11.000000000000,0.733333333333,11.000000000000,0.733333333333,0.733333333333,0.999999999999,0.266666666667,0.000000000001
C,SDV-CTGAN,,,3.000000000000,3.000000000000,3.000000000000,1.000000000000,3.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001,0.000000000001
C,SDV-GaussianCopula,,,3.000000000000,3.000000000000,3.000000000000,1.000000000000,3.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001,0.000000000001
C,SDV-TVAE,,,3.000000000000,3.000000000000,3.000000000000,1.000000000000,3.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001,0.000000000001
C,DP-Diffusion,1.000000000000,,2.000000000000,2.000000000000,1.000000000000,0.500000000000,1.000000000000,0.500000000000,0.500000000000,0.999999999999,0.500000000000,0.500000000000
A,DP-Diffusion+DP-CR,5.000000000000,False,28.000000000000,28.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.142857142857,0.536140174582,0.526794339883,0.536363361913
A,DP-Diffusion+DP-CR,5.000000000000,True,28.000000000000,28.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.142857142857,0.536140174582,0.526794339883,0.536363361913
A,DP-Diffusion+DP-CR,1.000000000000,False,15.000000000000,15.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.255626926122,0.538147566719,0.505286790068,0.536499215071
A,DP-Diffusion+DP-CR,1.000000000000,True,15.000000000000,15.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.255626926122,0.538147566719,0.505286790068,0.536499215071
A,DP-Diffusion+DP-CR,1.500000000000,False,14.000000000000,14.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.537299239222,0.537299239222,0.537253954836
A,DP-Diffusion+DP-CR,1.500000000000,True,14.000000000000,14.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.537299239222,0.537299239222,0.537253954836
B,DP-Diffusion+DP-CR,1.000000000000,False,4.000000000000,4.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.770565552699,0.600756835938,0.304887328160,0.361167315407
B,DP-Diffusion+DP-CR,1.000000000000,True,4.000000000000,4.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.770565552699,0.600756835937,0.304887328160,0.361167315407
B,DP-Diffusion+DP-CR,5.000000000000,False,4.000000000000,4.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.774421593831,0.646712036133,0.277534582927,0.342544268532
B,DP-Diffusion+DP-CR,5.000000000000,True,4.000000000000,4.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.774421593831,0.646712036133,0.277534582927,0.342544268532
