mia_non_nan,knn_non_nan,both_non_nan,mia_knn_equal_count,mia_knn_equal_fraction,eps_equal,mia_knn_pearson,mia_knn_spearman,mia_min,mia_median,mia_mean,mia_max,knn_min,knn_median,knn_mean,knn_max,record_type,dataset,method,epsilon,seed,mia_auc,knn_mia_auc,abs_diff
288.000000000000,288.000000000000,288.000000000000,102.000000000000,0.354166666667,0.000000001000,0.638478123319,0.608805017692,0.000000000000,0.447619047619,0.475322950331,1.000000000000,0.500241516725,0.558975365294,0.738347672147,0.999999999999,summary,,,,,,,
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,9.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,1.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion,1.000000000000,42.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,5.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,7.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.500000000000,7.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.500000000000,5.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,5.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.000000000000,5.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,4.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.000000000000,4.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,3.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,4.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.500000000000,4.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.500000000000,3.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.000000000000,6.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,1.500000000000,6.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,6.000000000000,1.000000000000,0.999999999999,0.000000000001
,,,,,,,,,,,,,,,,sample,C,DP-Diffusion+DP-CR,5.000000000000,6.000000000000,1.000000000000,0.999999999999,0.000000000001
