,count,mean,std,min,25%,50%,75%,max
0,32593.0,5.26681720458555e-09,1.0000152587890625,-1.2115206718444824,-0.4810830056667328,-0.4810830056667328,0.9797921776771545,14.005928993225098
1,32593.0,0.022949712350964546,0.14974549412727356,0.0,0.0,0.0,0.0,1.0
2,32593.0,0.24265946447849274,0.4286974370479584,0.0,0.0,0.0,0.0,1.0
3,32593.0,0.13604147732257843,0.3428378701210022,0.0,0.0,0.0,0.0,1.0
4,32593.0,0.19243395328521729,0.3942180871963501,0.0,0.0,0.0,0.0,1.0
5,32593.0,0.0900193303823471,0.28621384501457214,0.0,0.0,0.0,0.0,1.0
6,32593.0,0.23814930021762848,0.42595747113227844,0.0,0.0,0.0,0.0,1.0
7,32593.0,0.07774675637483597,0.2677767872810364,0.0,0.0,0.0,0.0,1.0
8,32593.0,0.14371183514595032,0.3508026897907257,0.0,0.0,0.0,0.0,1.0
9,32593.0,0.271377295255661,0.44467708468437195,0.0,0.0,0.0,1.0,1.0
10,32593.0,0.23943792283535004,0.42674699425697327,0.0,0.0,0.0,0.0,1.0
11,32593.0,0.34547296166419983,0.4755295217037201,0.0,0.0,0.0,1.0,1.0
12,32593.0,0.4515693485736847,0.49765658378601074,0.0,0.0,0.0,1.0,1.0
13,32593.0,0.5484306216239929,0.49765658378601074,0.0,0.0,1.0,1.0,1.0
14,32593.0,0.10247599333524704,0.3032779097557068,0.0,0.0,0.0,0.0,1.0
15,32593.0,0.0725615918636322,0.2594194710254669,0.0,0.0,0.0,0.0,1.0
16,32593.0,0.0363268181681633,0.18710492551326752,0.0,0.0,0.0,0.0,1.0
17,32593.0,0.09867149591445923,0.2982250154018402,0.0,0.0,0.0,0.0,1.0
18,32593.0,0.05593225359916687,0.22979436814785004,0.0,0.0,0.0,0.0,1.0
19,32593.0,0.0891602486371994,0.2849792540073395,0.0,0.0,0.0,0.0,1.0
20,32593.0,0.10572822391986847,0.3074941635131836,0.0,0.0,0.0,0.0,1.0
21,32593.0,0.06476850807666779,0.24612072110176086,0.0,0.0,0.0,0.0,1.0
22,32593.0,0.09486699849367142,0.293035626411438,0.0,0.0,0.0,0.0,1.0
23,32593.0,0.0747399777173996,0.2629753649234772,0.0,0.0,0.0,0.0,1.0
24,32593.0,0.06400147080421448,0.24475932121276855,0.0,0.0,0.0,0.0,1.0
25,32593.0,0.07921946793794632,0.2700851261615753,0.0,0.0,0.0,0.0,1.0
26,32593.0,0.06154695898294449,0.24033455550670624,0.0,0.0,0.0,0.0,1.0
27,32593.0,0.4309207499027252,0.4952126741409302,0.0,0.0,0.0,1.0,1.0
28,32593.0,0.1451231837272644,0.35223039984703064,0.0,0.0,0.0,0.0,1.0
29,32593.0,0.40370631217956543,0.49064743518829346,0.0,0.0,0.0,1.0,1.0
30,32593.0,0.01064645778387785,0.10263252258300781,0.0,0.0,0.0,0.0,1.0
31,32593.0,0.0096032889559865,0.0975261926651001,0.0,0.0,0.0,0.0,1.0
32,32593.0,0.1015862300992012,0.3021080493927002,0.0,0.0,0.0,0.0,1.0
33,32593.0,0.10787592083215714,0.3102284073829651,0.0,0.0,0.0,0.0,1.0
34,32593.0,0.1121099591255188,0.31550654768943787,0.0,0.0,0.0,0.0,1.0
35,32593.0,0.10858159512281418,0.31111830472946167,0.0,0.0,0.0,0.0,1.0
36,32593.0,0.09989874809980392,0.299869567155838,0.0,0.0,0.0,0.0,1.0
37,32593.0,0.09584879875183105,0.2943882942199707,0.0,0.0,0.0,0.0,1.0
38,32593.0,0.08912956714630127,0.2849350571632385,0.0,0.0,0.0,0.0,1.0
39,32593.0,0.08833184838294983,0.2837812602519989,0.0,0.0,0.0,0.0,1.0
40,32593.0,0.08474212139844894,0.27850183844566345,0.0,0.0,0.0,0.0,1.0
41,32593.0,0.07780811935663223,0.26787349581718445,0.0,0.0,0.0,0.0,1.0
42,32593.0,0.03408707305788994,0.18145565688610077,0.0,0.0,0.0,0.0,1.0
43,32593.0,0.703954815864563,0.45651814341545105,0.0,0.0,1.0,1.0,1.0
44,32593.0,0.28941798210144043,0.4534991979598999,0.0,0.0,0.0,1.0,1.0
45,32593.0,0.006627189926803112,0.08113859593868256,0.0,0.0,0.0,0.0,1.0
46,32593.0,0.871997058391571,0.334098219871521,0.0,1.0,1.0,1.0,1.0
47,32593.0,0.10121805220842361,0.3016218841075897,0.0,0.0,0.0,0.0,1.0
48,32593.0,0.020709969103336334,0.14241379499435425,0.0,0.0,0.0,0.0,1.0
49,32593.0,0.004356763791292906,0.06586285680532455,0.0,0.0,0.0,0.0,1.0
50,32593.0,0.001196575933136046,0.034571386873722076,0.0,0.0,0.0,0.0,1.0
51,32593.0,0.0003988586540799588,0.01996776834130287,0.0,0.0,0.0,0.0,1.0
52,32593.0,0.00012272574531380087,0.011077654547989368,0.0,0.0,0.0,0.0,1.0
53,32593.0,0.9029239416122437,0.2960658371448517,0.0,1.0,1.0,1.0,1.0
54,32593.0,0.09707605838775635,0.2960658371448517,0.0,0.0,0.0,0.0,1.0
