dataset,seed,epsilon_train,epsilon_repair_dpcr,baseline_run_dir,dpcr_run_dir,baseline_syn_path,dpcr_syn_path,dpcr_used_file,utility_main_base,utility_main_dpcr,delta_utility,tstr_balacc_base,tstr_balacc_dpcr,delta_tstr_balacc,tstr_f1macro_base,tstr_f1macro_dpcr,delta_tstr_f1macro,privacy_adv_primary_base,privacy_adv_primary_dpcr,delta_privacy,mia_auc_base,mia_auc_dpcr,delta_mia_auc,knn_mia_auc_base,knn_mia_auc_dpcr,delta_knn_mia_auc,mia_adv_fix_base,mia_adv_fix_dpcr,delta_mia_adv_fix,knn_mia_adv_fix_base,knn_mia_adv_fix_dpcr,delta_knn_mia_adv_fix,pearson_mad_base,pearson_mad_dpcr,delta_pearson_mad,spearman_mad_base,spearman_mad_dpcr,delta_spearman_mad
A,0,0.500000000000,0.500000000000,outputs\A\dp_diffusion\seed0\train0.5,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\A\dp_diffusion\seed0\train0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,synth.csv,0.500000000000,0.193756449948,-0.306243550052,0.500000000000,0.193756449948,-0.306243550052,0.385135135135,0.175425878942,-0.209709256193,4.887446009107,0.404591057234,-4.482854951873,0.493620408163,0.508069387755,0.014448979592,,0.536318077527,,0.006379591837,0.008069387755,0.001689795918,,0.036318077527,,0.388551128384,0.385229205754,-0.003321922629,,,
A,0,1.000000000000,0.500000000000,outputs\A\dp_diffusion\seed0\train1.0,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5,outputs\A\dp_diffusion\seed0\train1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv,synth.csv,0.500000000000,0.193756449948,-0.306243550052,0.500000000000,0.193756449948,-0.306243550052,0.385135135135,0.175425878942,-0.209709256193,4.887411904741,0.404591057234,-4.482820847507,0.493620408163,0.508175510204,0.014555102041,,0.538401159280,,0.006379591837,0.008175510204,0.001795918367,,0.038401159280,,0.388550002390,0.385227634042,-0.003322368349,,,
A,0,3.000000000000,2.000000000000,outputs\A\dp_diffusion\seed0\train3.0,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0,outputs\A\dp_diffusion\seed0\train3.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv,synth.csv,0.500000000000,0.252321981424,-0.247678018576,0.500000000000,0.252321981424,-0.247678018576,0.385135135135,0.241391808626,-0.143743326509,4.887182924652,0.403002556346,-4.484180368306,0.493620408163,0.498763265306,0.005142857143,,0.538220021737,,0.006379591837,0.001236734694,-0.005142857143,,0.038220021737,,0.388545607522,0.385295489439,-0.003250118084,,,
A,0,4.000000000000,1.000000000000,outputs\A\dp_diffusion\seed0\train4.0,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0,outputs\A\dp_diffusion\seed0\train4.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv,synth.csv,0.500000000000,0.228844169247,-0.271155830753,0.500000000000,0.228844169247,-0.271155830753,0.385135135135,0.219403165398,-0.165731969737,4.887007649743,0.403214375281,-4.483793274462,0.493620408163,0.500110204082,0.006489795918,,0.539578553315,,0.006379591837,0.000110204082,-0.006269387755,,0.039578553315,,0.388544032274,0.384758507188,-0.003785525085,,,
A,1,0.500000000000,0.500000000000,outputs\A\dp_diffusion\seed1\train0.5,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\A\dp_diffusion\seed1\train0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,synth.csv,0.500000000000,0.423116615067,-0.076883384933,0.500000000000,0.423116615067,-0.076883384933,0.272000000000,0.330965732087,0.058965732087,4.893874292804,0.413350705192,-4.480523587611,0.522783673469,0.506216326531,-0.016567346939,,0.537253954836,,0.022783673469,0.006216326531,-0.016567346939,,0.037253954836,,0.394361022630,0.384224248351,-0.010136774279,,,
A,1,1.000000000000,0.500000000000,outputs\A\dp_diffusion\seed1\train1.0,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5,outputs\A\dp_diffusion\seed1\train1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv,synth.csv,0.500000000000,0.423116615067,-0.076883384933,0.500000000000,0.423116615067,-0.076883384933,0.272000000000,0.330965732087,0.058965732087,4.893754706646,0.413350705192,-4.480404001454,0.522783673469,0.505995918367,-0.016787755102,,0.535623716942,,0.022783673469,0.005995918367,-0.016787755102,,0.035623716942,,0.394361184613,0.384223188417,-0.010137996195,,,
A,1,3.000000000000,2.000000000000,outputs\A\dp_diffusion\seed1\train3.0,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0,outputs\A\dp_diffusion\seed1\train3.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth.csv,synth.csv,0.500000000000,0.405572755418,-0.094427244582,0.500000000000,0.405572755418,-0.094427244582,0.272000000000,0.302375267060,0.030375267060,4.893430751844,0.414545467097,-4.478885284747,0.522783673469,0.485885714286,-0.036897959184,,0.535774664896,,0.022783673469,0.014114285714,-0.008669387755,,0.035774664896,,0.394361802510,0.382916545903,-0.011445256607,,,
A,1,4.000000000000,1.000000000000,outputs\A\dp_diffusion\seed1\train4.0,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0,outputs\A\dp_diffusion\seed1\train4.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv,synth.csv,0.500000000000,0.446594427245,-0.053405572755,0.500000000000,0.446594427245,-0.053405572755,0.272000000000,0.353644859813,0.081644859813,4.893299085430,0.413754399164,-4.479544686266,0.522783673469,0.496689795918,-0.026093877551,,0.535593527352,,0.022783673469,0.003310204082,-0.019473469388,,0.035593527352,,0.394361978345,0.383818275641,-0.010543702704,,,
A,2,0.500000000000,0.500000000000,outputs\A\dp_diffusion\seed2\train0.5,outputs\A\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\A\dp_diffusion\seed2\train0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv,synth.csv,0.500000000000,0.508771929825,0.008771929825,0.500000000000,0.508771929825,0.008771929825,0.385135135135,0.291434927697,-0.093700207438,4.888744196466,0.408759560479,-4.479984635987,0.467346938776,0.537640816327,0.070293877551,,0.534627460452,,0.032653061224,0.037640816327,0.004987755102,,0.034627460452,,0.380456852920,0.393589277460,0.013132424540,,,
A,2,1.000000000000,0.500000000000,outputs\A\dp_diffusion\seed2\train1.0,outputs\A\dp_diffusion_dpcr\seed2\train1.0_repair0.5,outputs\A\dp_diffusion\seed2\train1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth.csv,synth.csv,0.500000000000,0.508771929825,0.008771929825,0.500000000000,0.508771929825,0.008771929825,0.385135135135,0.291434927697,-0.093700207438,4.888658849466,0.408760044769,-4.479898804696,0.467346938776,0.537518367347,0.070171428571,,0.538823813549,,0.032653061224,0.037518367347,0.004865306122,,0.038823813549,,0.380454352871,0.393591929721,0.013137576850,,,
