dataset,method,epsilon,repaired_flag,synth_kind,utility_mean,utility_std,utility_main_n,utility_acc_mean,utility_acc_std,tstr_acc_n,privacy_mean,privacy_std,privacy_main_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,corr_mean,corr_std,pearson_mad_n,n_seeds,utility_winner,privacy_winner,pareto_winner,delta_vs_baseline_utility,delta_vs_baseline_privacy
C,DP-Diffusion,0.500000000000,,,0.333333333333,,1,0.343750000000,,1,5.110691150267,,1,0.000000000000,,1,,,0,0.500000000000,,1,,,0,0.112182189106,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,0.700000000000,,,0.333333333333,,1,0.343750000000,,1,5.110689267389,,1,0.000000000000,,1,,,0,0.500000000000,,1,,,0,0.112182287699,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,1.000000000000,,,0.333333333333,0.000000000000,2,0.343750000000,0.000000000000,2,5.114224601112,0.013898379300,2,0.500000000000,0.707106781187,2,,,0,0.500000000000,0.000000000000,2,,,0,0.042235177952,0.001300787409,2,2,0,1,0,0.000000000000,
C,DP-Diffusion,3.000000000000,,,0.333333333333,,1,0.343750000000,,1,5.110676776448,,1,0.000000000000,,1,,,0,0.500000000000,,1,,,0,0.112181816923,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,4.000000000000,,,0.333333333333,,1,0.343750000000,,1,5.110673177984,,1,0.000000000000,,1,,,0,0.500000000000,,1,,,0,0.112181363894,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion,5.000000000000,,,0.333333333333,,1,0.343750000000,,1,5.110670369179,,1,0.000000000000,,1,,,0,0.500000000000,,1,,,0,0.112181159518,,1,1,0,0,0,0.000000000000,
C,DP-Diffusion+DP-CR,1.000000000000,True,,0.337373737374,0.018456321280,15,0.330729166667,0.023745496127,15,0.818788872852,0.004931087985,15,0.733333333333,0.457737708217,15,,,0,0.500000000000,0.000000000000,15,,,0,0.042801568418,0.000782456859,15,15,0,0,0,0.004040404040,
C,DP-Diffusion+DP-CR,1.500000000000,True,,0.333916083916,0.024517368124,13,0.322716346154,0.027507806839,13,0.817760103304,0.005121027575,13,1.000000000000,0.000000000000,13,,,0,0.500000000000,0.000000000000,13,,,0,0.042624658274,0.000697193447,13,13,0,0,0,0.000582750583,
C,DP-Diffusion+DP-CR,5.000000000000,True,,0.345658508159,0.026124444091,26,0.337139423077,0.030514173488,26,0.815334421855,0.003491723992,26,0.846153846154,0.367946484403,26,,,0,0.500000000000,0.000000000000,26,,,0,0.042771164513,0.000788004056,26,26,1,0,0,0.012325174825,
C,SDV-CTGAN,,,,0.333333333333,0.032328164081,3,0.335937500000,0.027063293868,3,,,0,1.000000000000,0.000000000000,3,,,0,0.500000000000,0.000000000000,3,,,0,0.064352204195,0.001879735327,3,3,0,0,0,-0.000000000000,
C,SDV-GaussianCopula,,,,0.333333333333,0.000000000000,3,0.312500000000,0.000000000000,3,,,0,1.000000000000,0.000000000000,3,,,0,0.500000000000,0.000000000000,3,,,0,0.077127272560,0.000000000000,3,3,0,0,0,0.000000000000,
C,SDV-TVAE,,,,0.324242424242,0.009090909091,3,0.304687500000,0.007812500000,3,,,0,1.000000000000,0.000000000000,3,,,0,0.500000000000,0.000000000000,3,,,0,0.162524645112,0.021266549313,3,3,0,0,0,-0.009090909091,
